date,cumulative_test,new_test
2020-03-02,339,
2020-03-03,341,2
2020-03-04,372,31
2020-03-05,388,16
2020-03-06,450,62
2020-03-07,454,4
2020-03-08,483,29
2020-03-09,543,60
2020-03-10,694,151
2020-03-11,793,99
2020-03-12,862,69
2020-03-13,1005,143
2020-03-14,1205,200
2020-03-15,1293,88
2020-03-16,1230,
2020-03-17,1372,120
2020-03-18,1592,197
2020-03-19,1898,287
2020-03-20,2028,112
2020-03-21,2365,317
2020-03-22,2438,53
2020-03-23,2756,318
2020-03-24,3332,554
2020-03-25,3822,490
2020-03-26,4336,514
2020-03-27,5775,1439
2020-03-28,6266,491
2020-03-29,6534,268
2020-03-30,6663,129
2020-03-31,6777,114
2020-04-01,7193,416
2020-04-02,7425,232
2020-04-03,7986,561
2020-04-04,9712,1726
2020-04-05,11242,1530
2020-04-06,13186,1944
2020-04-07,14353,1167
2020-04-08,16511,2158
2020-04-09,17679,1168
2020-04-10,19452,1773
2020-04-11,19964,512
2020-04-12,27075,7111
2020-04-13,27953,878
2020-04-14,31628,3675
2020-04-15,33001,1373
2020-04-16,34975,1974
2020-04-17,37134,2159
2020-04-18,39422,2288
2020-04-19,42219,2797
2020-04-20,43749,1530
2020-04-21,46173,2424
2020-04-22,47361,1188
2020-04-23,48647,1286
2020-04-24,50563,1916
2020-04-25,52541,1978
2020-04-26,56974,4433
2020-04-27,59409,2435
2020-04-28,62544,3135
2020-04-29,67784,5240
2020-04-30,72351,4567
2020-05-01,76538,4187
2020-05-02,79868,3330
2020-05-03,83012,3144
2020-05-04,86061,3049
2020-05-05,88924,2863
2020-05-06,92976,4052
2020-05-07,96717,3741
2020-05-08,103361,6644
2020-05-09,108699,5338
2020-05-10,112452,3753
2020-05-11,116358,3906
2020-05-12,119728,3370